epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc_greedy,val_tok_acc_greedy,lr,tf_ratio,time
1,3.823181,0.185103,4.006722,0.116602,0.000000,0.071669,0.00020000,0.7000,197.8
2,3.189269,0.334976,4.032026,0.108330,0.000000,0.081956,0.00040000,0.6930,166.7
3,2.985592,0.388150,3.843415,0.139514,0.000822,0.093657,0.00060000,0.6861,169.3
4,2.825656,0.428905,3.862411,0.180868,0.001645,0.160646,0.00080000,0.6792,172.9
5,2.705709,0.459924,3.669984,0.208119,0.002467,0.169714,0.00100000,0.6724,172.9
6,2.602888,0.486267,3.614282,0.238708,0.004112,0.213934,0.00099988,0.6657,168.3
7,2.502530,0.515172,3.491438,0.265126,0.007401,0.236312,0.00099953,0.6590,167.4
8,2.405618,0.542163,3.227937,0.304650,0.032072,0.264248,0.00099894,0.6524,162.4
9,2.323730,0.567392,3.151423,0.336770,0.058388,0.298669,0.00099812,0.6459,161.0
10,2.263144,0.585256,2.955820,0.373604,0.064145,0.346058,0.00099707,0.6395,163.4
11,2.179250,0.609703,2.713867,0.403983,0.091283,0.375067,0.00099578,0.6331,169.5
12,2.098817,0.634572,2.610025,0.448093,0.119243,0.412998,0.00099426,0.6267,170.8
13,2.028051,0.655229,2.427960,0.488480,0.162829,0.460241,0.00099251,0.6205,170.1
14,1.982073,0.670684,2.315198,0.520028,0.180099,0.500756,0.00099052,0.6143,169.1
15,1.917747,0.689590,2.097999,0.562429,0.244243,0.544342,0.00098831,0.6081,167.3
16,1.884489,0.700345,1.992512,0.591724,0.266447,0.571547,0.00098587,0.6020,241.4
17,1.814955,0.720630,1.951299,0.607824,0.295230,0.588172,0.00098320,0.5960,248.1
18,1.777534,0.732482,1.832925,0.630811,0.324013,0.612257,0.00098030,0.5901,191.0
19,1.734266,0.745681,1.675884,0.644236,0.343750,0.619229,0.00097717,0.5842,174.6
20,1.711974,0.752763,1.591531,0.668359,0.380757,0.650724,0.00097383,0.5783,179.5
21,1.672786,0.764419,1.525837,0.678113,0.379112,0.661986,0.00097026,0.5725,180.5
22,1.645308,0.773228,1.529602,0.688629,0.402961,0.674126,0.00096647,0.5668,179.1
23,1.621047,0.780764,1.461406,0.696426,0.430921,0.679977,0.00096246,0.5611,181.7
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc_greedy,val_tok_acc_greedy,lr,tf_ratio,time
1,3.823917,0.184004,3.944488,0.116343,0.000000,0.068061,0.00020000,0.7000,227.4
2,3.190955,0.335300,3.976009,0.108753,0.000000,0.075910,0.00040000,0.6930,204.4
3,2.983245,0.388603,3.854498,0.145512,0.001645,0.097557,0.00060000,0.6861,180.8
4,2.824635,0.428571,3.842191,0.187379,0.002467,0.171079,0.00080000,0.6792,169.6
5,2.698706,0.461593,3.532525,0.226851,0.000822,0.201160,0.00100000,0.6724,167.5
6,2.595955,0.487634,3.582147,0.245795,0.008224,0.221930,0.00099988,0.6657,166.5
7,2.496910,0.515313,3.410078,0.286066,0.013158,0.255911,0.00099953,0.6590,165.6
8,2.398507,0.543102,3.235077,0.307116,0.023026,0.278728,0.00099894,0.6524,166.7
9,2.301117,0.573148,3.047658,0.353602,0.057566,0.322315,0.00099812,0.6459,168.7
10,2.238507,0.592374,2.930767,0.382693,0.065789,0.359222,0.00099707,0.6395,166.3
11,2.155716,0.616416,2.685046,0.413037,0.093750,0.385695,0.00099578,0.6331,165.7
12,2.085812,0.637132,2.485463,0.476076,0.152138,0.452830,0.00099426,0.6267,165.8
13,2.017915,0.658592,2.375838,0.486745,0.177632,0.452391,0.00099251,0.6205,166.2
14,1.963889,0.674820,2.283158,0.523759,0.194901,0.505290,0.00099052,0.6143,166.0
15,1.906200,0.694565,2.130843,0.559747,0.236020,0.539369,0.00098831,0.6081,167.0
16,1.865587,0.705553,2.029717,0.588457,0.276316,0.565258,0.00098587,0.6020,166.5
17,1.814760,0.720650,1.907952,0.606116,0.311678,0.586856,0.00098320,0.5960,167.5
18,1.759492,0.738537,1.791463,0.628968,0.331414,0.604456,0.00098030,0.5901,166.0
19,1.729830,0.746846,1.758763,0.637055,0.333882,0.611233,0.00097717,0.5842,165.0
20,1.695917,0.757491,1.589252,0.683558,0.392270,0.671445,0.00097383,0.5783,166.2
21,1.660236,0.768300,1.554550,0.679113,0.385691,0.664083,0.00097026,0.5725,167.2
22,1.632243,0.777367,1.588545,0.683989,0.409539,0.661596,0.00096647,0.5668,166.1
23,1.611729,0.783465,1.478817,0.697742,0.429276,0.683292,0.00096246,0.5611,166.3
24,1.591768,0.789591,1.396754,0.713123,0.433388,0.699625,0.00095823,0.5555,165.9
25,1.579172,0.794059,1.464579,0.697936,0.439967,0.679294,0.00095379,0.5500,165.2
26,1.549289,0.801207,1.373408,0.721392,0.462993,0.707620,0.00094913,0.5445,165.2
27,1.527621,0.808675,1.350774,0.729768,0.476151,0.715080,0.00094427,0.5390,165.0
28,1.514549,0.812525,1.299275,0.740544,0.479441,0.731364,0.00093919,0.5336,165.6
29,1.499769,0.815636,1.219531,0.749372,0.500000,0.738969,0.00093391,0.5283,166.2
30,1.490457,0.819932,1.198187,0.751520,0.497533,0.741310,0.00092843,0.5230,165.5
31,1.479748,0.822570,1.208416,0.754366,0.512336,0.743406,0.00092274,0.5178,164.6
32,1.450784,0.830898,1.226697,0.748841,0.504934,0.734094,0.00091686,0.5126,165.8
33,1.455476,0.829566,1.187607,0.765525,0.520559,0.753839,0.00091078,0.5075,165.4
