epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
1,4.057160,0.163464,3.878415,0.103864,0.000000,0.057823,0.00008000,0.8000,416.2
2,3.311700,0.335254,4.210371,0.133299,0.000000,0.098435,0.00016000,0.7960,379.3
3,3.060484,0.397735,4.086361,0.147273,0.000000,0.118863,0.00024000,0.7920,365.5
4,2.887641,0.441525,4.089045,0.168969,0.002467,0.145483,0.00032000,0.7881,364.2
5,2.761144,0.472126,3.979211,0.188412,0.003289,0.164253,0.00040000,0.7841,789.0
6,2.647681,0.502236,3.844910,0.220781,0.004112,0.195310,0.00048000,0.7802,342.0
7,2.537123,0.532278,3.836713,0.232987,0.007401,0.203159,0.00056000,0.7763,377.8
8,2.460386,0.553287,3.586915,0.276678,0.011513,0.249086,0.00064000,0.7724,381.6
9,2.384282,0.574726,3.543809,0.290077,0.027138,0.269026,0.00072000,0.7686,348.5
10,2.332567,0.590185,3.344574,0.335786,0.034539,0.306762,0.00080000,0.7647,316.7
11,2.275510,0.607789,3.218892,0.363429,0.058388,0.336892,0.00079990,0.7609,291.4
12,2.216521,0.625991,3.225925,0.375450,0.069901,0.353615,0.00079960,0.7571,286.4
13,2.158389,0.643501,2.922408,0.406334,0.100329,0.373214,0.00079909,0.7533,296.2
14,2.111042,0.658365,2.767549,0.444606,0.134868,0.414851,0.00079839,0.7495,295.7
15,2.063225,0.669950,2.633623,0.484847,0.155428,0.462289,0.00079748,0.7458,292.1
16,2.025238,0.683810,2.650032,0.488017,0.168586,0.464629,0.00079638,0.7421,297.0
17,1.992590,0.692311,2.528302,0.511984,0.185855,0.491151,0.00079508,0.7383,295.2
18,1.960495,0.700396,2.315555,0.551270,0.222862,0.527473,0.00079357,0.7347,296.0
19,1.921207,0.712393,2.199725,0.566825,0.245066,0.545025,0.00079187,0.7310,291.5
20,1.895492,0.720197,2.185549,0.574308,0.260691,0.549266,0.00078997,0.7273,293.8
21,1.864068,0.729711,2.103082,0.589919,0.260691,0.569548,0.00078788,0.7237,297.5
22,1.845672,0.734947,2.042427,0.605548,0.280428,0.585101,0.00078559,0.7201,293.9
23,1.816439,0.742356,1.931356,0.625962,0.311678,0.602262,0.00078310,0.7165,294.0
24,1.798071,0.747940,1.868905,0.633260,0.315789,0.615718,0.00078042,0.7129,291.7
25,1.762639,0.759041,1.882955,0.639689,0.332237,0.622154,0.00077755,0.7093,286.3
26,1.750081,0.762508,1.754753,0.651865,0.328947,0.626103,0.00077449,0.7058,282.4
27,1.732451,0.767604,1.723198,0.663408,0.350329,0.645751,0.00077125,0.7022,288.0
28,1.715531,0.772713,1.762128,0.656233,0.350329,0.634148,0.00076781,0.6987,291.3
29,1.693031,0.779180,1.680299,0.676656,0.373355,0.656770,0.00076419,0.6952,281.7
30,1.674455,0.784218,1.640675,0.688555,0.401316,0.671347,0.00076039,0.6918,288.5
31,1.659137,0.788404,1.562376,0.703998,0.421875,0.686120,0.00075640,0.6883,287.3
32,1.646393,0.793087,1.482732,0.714228,0.430099,0.700453,0.00075224,0.6849,286.7
33,1.626958,0.796837,1.470699,0.717668,0.437500,0.701965,0.00074790,0.6814,288.1
34,1.621117,0.799372,1.501182,0.718540,0.441612,0.700063,0.00074338,0.6780,287.3
35,1.605475,0.803084,1.516199,0.717692,0.436678,0.702696,0.00073869,0.6746,284.3
36,1.584077,0.809610,1.487087,0.721175,0.447368,0.707084,0.00073383,0.6713,292.9
37,1.581156,0.809972,1.416989,0.729974,0.453125,0.716786,0.00072880,0.6679,297.6
38,1.560995,0.815899,1.403828,0.730944,0.459704,0.715957,0.00072361,0.6646,297.0
39,1.547951,0.818622,1.357070,0.744315,0.481908,0.731266,0.00071825,0.6613,295.1
40,1.542097,0.821436,1.355663,0.740755,0.478618,0.725854,0.00071273,0.6579,292.9
41,1.535095,0.822323,1.312325,0.749113,0.477796,0.737555,0.00070706,0.6547,287.7
42,1.518920,0.826574,1.320947,0.752001,0.500000,0.737068,0.00070123,0.6514,278.6
43,1.514199,0.828591,1.342346,0.749771,0.506579,0.738384,0.00069525,0.6481,276.7
44,1.509198,0.829055,1.319137,0.749276,0.492599,0.734679,0.00068912,0.6449,276.8
45,1.491424,0.833989,1.315978,0.758257,0.500822,0.747063,0.00068284,0.6417,277.2
46,1.486506,0.835295,1.315194,0.756396,0.514803,0.744284,0.00067643,0.6385,278.5
47,1.479563,0.837445,1.222745,0.769296,0.515625,0.757593,0.00066987,0.6353,278.4
48,1.467313,0.840798,1.285686,0.765524,0.520559,0.749500,0.00066318,0.6321,278.4
49,1.464948,0.841261,1.283475,0.756915,0.501645,0.745697,0.00065635,0.6289,276.3
50,1.450576,0.844500,1.281693,0.764641,0.516447,0.756131,0.00064940,0.6258,276.4
51,1.443881,0.846862,1.199131,0.776273,0.520559,0.765784,0.00064232,0.6227,277.2
52,1.426023,0.851375,1.142808,0.785341,0.533717,0.776559,0.00063511,0.6195,274.9
53,1.430113,0.850512,1.242091,0.771464,0.523026,0.759885,0.00062779,0.6164,273.7
54,1.426597,0.851264,1.219157,0.777622,0.534539,0.765053,0.00062036,0.6134,276.8
55,1.418806,0.853506,1.223100,0.774631,0.534539,0.762664,0.00061281,0.6103,274.4
56,1.404650,0.856845,1.216281,0.775498,0.532072,0.765004,0.00060516,0.6072,273.8
57,1.404944,0.857277,1.171655,0.786648,0.543586,0.776900,0.00059740,0.6042,276.5
58,1.394154,0.860130,1.170826,0.784028,0.555921,0.774024,0.00058955,0.6012,275.5
59,1.390038,0.860505,1.137723,0.787906,0.555099,0.777095,0.00058160,0.5982,280.1
60,1.375760,0.864391,1.128054,0.792796,0.562500,0.781727,0.00057355,0.5952,278.0
61,1.375767,0.864330,1.144239,0.789630,0.556743,0.775876,0.00056542,0.5922,279.2
